station_id,latitude,longitude,country_code,name
AYM00089507,-75,0,KOHNENEP9,**
AYM00089512,-70.767,11.833,NOVOLAZAREVSKAJA,**
AYM00089514,-70.767,11.75,MAITRI,**
AYM00089532,-69,39.583,SYOWA,**
AYM00089542,-67.667,45.85,MOLODEZNAJA,**
AYM00089564,-67.6,62.867,MAWSON,**
AYM00089571,-68.583,77.95,DAVIS,**
AYM00089573,-69.367,76.367,ZHONGSHAN,**
AYM00089574,-69.383,76.383,PROGRESS,**
AYM00089577,-80.37,77.37,DOME_PLATEAU_DOME_A,**
AYM00089578,-76.42,77.02,DOME_PLATEAU_EAGLE,**
AYM00089592,-66.55,93.017,MIRNYJ,**
AYM00089606,-78.45,106.867,VOSTOK,**
AYM00089611,-66.283,110.517,CASEY,**
AYM00089625,-75.1,123.4,CONCORDIA,**
AYM00089642,-66.667,140.017,DUMONT_D'URVILLE,**
AYM00089657,-69.5,159.383,LENINGRADSKAYA,**
AYM00089661,-73.517,169.75,CAPE_PHILLIPS,**
AYM00089662,-74.7,164.1,BASE_BAIA_TERRA_NOVA,**
AYM00089664,-77.8833,166.7333,MCMURDO_SOUND_NAF,**
AYM00089666,-76.717,162.967,CAPE_ROSS,**
AYM00089667,-77.95,166.5,PEGASUS_NORTH,**
AYM00089734,-77.317,39.7,DOME_FUJI,**
AYM00089744,-74.017,43.05,RELAY_STAT,**
AYM00089767,-70.9,69.867,G3,**
AYM00089768,-78.55,166.65,MINNA_BLUFF,**
AYM00089769,-78.467,168.383,LINDA,**
AYM00089799,-89,89.667,NICO,**
AYM00089811,-66.733,112.833,LAW_DOME_SUMMIT,**
AYM00089828,-75.117,123.367,DOME_C_II,**
AYM00089832,-66.717,139.833,D_10,**
AYM00089834,-67.4,138.733,D_47,**
AYM00089864,-74.95,163.683,MANUELA,**
AYM00089868,-79.9,169.983,SCHWERDTFEGER,**
AYM00089869,-79.95,165.117,MARILYN,**
AYM00089872,-77.9,170.817,FERRELL,**
AYM00089873,-83.133,174.167,ELAINE,**
AYM00089879,-71.883,171.2,POSSESSION_IS,**
AYW00068201,-80.0167,-119.5333,BYRD_STN,**
