station_id,year,month,day,hour,temperature_c
2024 004 1,5,30,0,0,
2024 004 1,8,27,8,0,
2024 004 2,1,25,4,0,
2024 005 0,0,25,0,0,
2024 005 0,3,27,6,0,
2024 005 0,6,33,6,0,
2024 005 0,9,37,0,0,
2024 005 1,2,35,0,0,
2024 005 1,5,30,4,0,
2024 005 1,8,27,6,0,
2024 005 2,1,24,8,0,
2024 006 0,0,24,0,0,
2024 006 0,3,29,0,0,
2024 006 0,6,35,0,0,
2024 006 0,9,37,0,0,
2024 006 1,2,35,0,0,
2024 006 1,5,30,0,0,
2024 006 1,8,28,0,0,
2024 006 2,1,23,0,0,
2024 007 0,0,24,8,0,
2024 007 0,3,26,6,0,
2024 007 0,6,33,2,0,
2024 007 0,9,36,0,0,
2024 007 1,2,35,0,0,
2024 007 1,5,30,0,0,
2024 007 1,8,28,4,0,
2024 007 2,1,26,0,0,
2024 008 0,0,24,6,0,
2024 008 0,3,27,4,0,
2024 008 0,6,33,6,0,
2024 008 0,9,36,0,0,
2024 008 1,2,34,2,0,
2024 008 1,5,30,0,0,
2024 008 1,8,27,4,0,
2024 008 2,1,26,4,0,
2024 009 0,0,23,0,0,
2024 009 0,3,27,0,0,
2024 009 0,6,32,0,0,
2024 009 0,9,34,0,0,
2024 009 1,2,32,8,0,
2024 009 1,5,29,4,0,
2024 009 1,8,26,8,0,
2024 009 2,1,24,0,0,
2024 010 0,0,22,6,0,
2024 010 0,3,26,0,0,
2024 010 0,6,32,4,0,
2024 010 0,9,35,0,0,
2024 010 1,2,33,2,0,
2024 010 1,5,30,0,0,
2024 010 1,8,26,8,0,
2024 010 2,1,24,0,0,
2024 011 0,0,22,4,0,
2024 011 0,3,26,0,0,
2024 011 0,6,32,0,0,
2024 011 0,9,35,2,0,
2024 011 1,2,33,8,0,
2024 011 1,5,30,6,0,
2024 011 1,8,27,4,0,
2024 011 2,1,24,8,0,
2024 012 0,0,23,2,0,
2024 012 0,3,26,2,0,
